No;name;description;Bahan_Masakan;Bahan_Utama;Cara_Masak;Usia_Min;Usia_Max;Tekstur;Est_Harga;Kalori_(kkal);Protein_(g);Lemak_(g);Zat_Besi_(mg);Seng_(mg);Tag_Makanan;Potensi_Alergi;Image_URL
126;Pure Bayam dan Tomat;Bayam mengandung zat besi dan serat yang tinggi, sementara tomat selain mengandung mineral seperti zat besi, kalium, magnesium, juga kaya dengan vitamin C, A, K, dan E.;"2 genggam daun bayam segar

2 buah tomat buah

2 sdm air jeruk manis

100ml air matang";Bayam;"Seduh daun bayam dengan air mendidih sampai layu, tiriskan.

Proses bayam, tomat, dan 100 ml air dengan blender sampai lembut. Campur dengan air jeruk manis. Aduk rata";6;8;Bubur Halus;6000;22,1;1,4;0,2;1,3;1;Penambah Berat Badan;Tidak_ada;recipes/pure_bayam_dan_tomat.jpg
127;Pure Bit dan Jeruk;Bunda, Bit adalah umbi yang berwarna merah maroon, renyah, berair, dan rasanya manis. Kaya kandungan provitamin A ;"100 g bit

100 ml air matang

1/2 buah pisang ambon matang

1 buah jeruk manis, ambil airnya";Bit;"Kupas bit dan potong-potong daging buahnya. Kukus bit sampai matang dan empuk. Blender dengan sedikit air sampai halus. Sisihkan.

Potong-potong pisang ambon, campur dengan air jeruk manis. Proses dengan blender sampai halus, keluarkan. Campur pisang dengan sari bit. Aduk rata.";6;8;Bubur Halus;5000;70,5;1,3;0,3;1;1,2;Gizi Seimbang;Tidak_ada;recipes/pure_bit_dan_jeruk.jpg
128;Pure Brokoli;Pure brokoli adalah salah satu menu MPASI tunggal yang sangat disarankan untuk bayi usia 6 bulan karena teksturnya yang mudah dihaluskan dan kandungan gizinya yang luar biasa. Menu ini memiliki rasa yang segar dan unik, membantu bayi mengenal rasa sayuran hijau sejak dini.;"Air untuk merebus

200 g brokoli, potong-potong

50 ml air jeruk baby

50 ml ASI/Sufor";Brokoli;"Didihkan air, masukkan brokoli. Rebus brokoli sampai matang dan empuk. Angkat, tiriskan.

Satukan brokoli dengan air jeruk baby, proses dengan blender sampai lumat, saring.

Tambahkan ASI/Sufor, aduk rata.";6;8;Bubur Halus;4000;56;3,4;1,4;1;0,7;Gizi Seimbang;Susu;recipes/pure_brokoli.jpg
129;Pure Brokoli dan Alpukat;Pure brokoli alpukat adalah menu MPASI yang kaya akan nutrisi, menggabungkan sumber lemak sehat dari buah alpukat dengan serat dan vitamin dari sayuran brokoli. Menu ini sangat cocok dijadikan sebagai makanan pengenalan (snack atau menu utama) bagi bayi yang baru memulai fase MPASI di usia 6 bulan karena teksturnya yang lembut dan rasa yang cenderung gurih alami.;"150 g kuntum brokoli

150 g buah alpukat

1 sdm tepung beras

75 ml air matang";Alpukat;"Rebus brokoli dengan sedikit air sampai matang dan empuk, angkat. Haluskan. Keruk daging buah alpukat, haluskan. 

Larutkan tepung beras dengan air, panaskan sambil aduk sampai matang. Angkat, aduk sampau uap panasnya hilang.

Campur brokoli, alpukat, dan bubur tepung beras. Aduk rata.";6;9;Bubur Halus;5000;198,4;4,1;17,8;1,3;1,2;Penambah Berat Badan;Tepung Beras;recipes/pure_brokoli_dan_alpukat.jpg
130;Pure Brokoli, Kentang, dan Keju;Tahukah Bunda? Kentang mengandung karbohidrat untuk asupan tenaga, brokoli mengandung antioksidan dan serat. Sementara keju mengandung kalsium, magnesium, fosfor, dan protein yang baik untuk perkembangan tulang dan gigi bayi.;"100 g kentang

50 g brokoli, potong kuntumnya

1 sdm keju cheddar, aprut

50 ml air matang";Kentang;"Kupas kentang, potong seukuran dadu. Rebus bersama brokoli sampai matang dan empuk. Angkat.

Satukan kentang, brokoli, keju cheddar, dan air. Proses dengan blender sampai halus.";6;9;Bubur Halus;7000;62,7;2,1;0,4;1,7;1;Penambah Berat Badan;Keju, Susu;recipes/pure_brokoli,_kentang,_dan_keju.jpg
131;Pure Jambu Biji;Bunda, Jambu biji mengandung banyak sekali vitamin C yang berguna untuk menambah daya tahan tubuh bayi.;"100 g jambu biji merah

100 ml air jeruk baby

50 ml air matang/ASI/Sufor";Jambu;"Kupas jambu biji, potong-potong. Satukan dengan air, jeruk baby, blender sampai halus, saring.

Tambahkan ASI/Sufor, aduk rata";6;8;Bubur Halus;5000;65,5;1,1;1,3;1;1,3;Gizi Seimbang;Susu;recipes/pure_jambu_biji.jpg
132;Pure Jambu Wortel;Bunda, jambu biji bisa direbus terlebiih dahulu sampai lunak, baru kemudian dihaluskan. Ini untuk menghindari kemungkinan bayi menolak rasa manis dan sedikit masam pada jambu biji.;"2 buah jambu biji warna putih matang

1 batang wortel

100 ml air 

50 ml air jeruk manis

2 keping biskuit susu";Jambu;"Belah jambu biji, buang bijinya. Potong-potong, blender bersama wortel dan air matang. 

Campur jambu biji dengan sari jeruk manis. Aduk rata. Sajikan bersama biskuit.";6;9;Bubur Halus;6000;112,3;2;1,7;1,5;0,9;Gizi Seimbang;Susu;recipes/pure_jambu_wortel.jpg
133;Pure Kentang;Bunda, kentang mengandung karbohidrat tinggi, sehingga mampu memberi tenaga pada bayi.;"150 g kentang (1 butir kentang)

200 ml air jeruk baby";Kentang;"Kupas kentang, cuci sampai bersih. Kukus kentang sampai matang dan empuk.

Satukan kentang kukus dengan air jeruk baby. Proses dengan blender sampai lumat.";6;9;Bubur Halus;5000;116,5;2,4;0,1;1;1,2;Penambah Berat Badan;Tidak_ada;recipes/pure_kentang.jpg
134;Pure Kiwi dan Madu ;Buah kiwi yang benar-benar matang rasanya dominan manis dan sedikit masam menyegarkan.  Tentunya dapat menambah nafsu makan pada bayi.;"2 buah kiwi matang, kupas

200 ml air matang

1 sdm madu";Kiwi;"Potong-potong kiwi, satukan dengan air matang. Proses dengan blender sampai halus.

Tambahkan madu ke dalam kiwi, aduk rata";6;8;Bubur Halus;9000;60,9;0,7;0,4;0,8;1,7;Gizi Seimbang;Madu;recipes/pure_kiwi_dan_madu_.jpg
135;Pure wortel jeruk;Puree wortel jeruk adalah menu MPASI 6 bulan+ yang kaya vitamin A dan C, memberikan kombinasi rasa manis alami wortel kukus dan kesegaran jeruk. Tekstur lembut dan aromanya yang segar efektif meningkatkan nafsu makan bayi serta menunjang kesehatan mata dan imun. Menu ini mudah disiapkan dengan merebus/mengukus wortel, dihaluskan, lalu dicampur sari jeruk manis.;"2 buah jeruk manis

1 buah wortel muda, potong-potong

2 sdm air gula

100 ml air matang";Wortel;"Peras air jeruk manis, satukan dengan wortel, air gula, dan air matang.

Haluskan dengan blender.";6;8;Bubur Halus;6000;71,9;0,8;0,2;1;1,4;Gizi Seimbang;Tidak_ada;recipes/pure_wortel_jeruk.jpg
136;Pure Mangga dan Melon;Bunda, buah mangga mengandung vitamin yang baik untuk bayi, yaitu vitamin K, vitamin A dan vitamin C. Namun jangan terlalu banyak memberi mangga pada bayi karena serat dan gula pada buah mangga dapat membuat bayi diare.;"1 buah mangga arum manis matang

100 g melon matang

1 sdt air jeruk manis

100 ml susu formula";Mangga;"Kupas mangga, potong-potong daging buahnya. Lakukan hal yang sama pada melon. 

Satukan mangga, melon dan air jeruk manis. Haluskan dengan blender. Keluarkan dari blender dan campur sari mangga dengan susu formula atau ASI. Aduk rata. ";6;8;Bubur Halus;6000;156;4,1;3,2;1,7;1,8;Gizi Seimbang;Susu;recipes/pure_mangga_dan_melon.jpg
137;Pure Melon Alpukat;Bunda, buah melon mengandung vitamin A,C, dan kalsium serta betakaroten yang sangat baik untuk tumbuh kembang bayi serta kesehatan mata bayi.;"150 g melon jingga

1 buah alpukat matang

100 ml susu formula";Melon;"Proses daging buah melon dengan blender sampai halus. Sisihkan.

Keruk daging buah alpukat, lumatkan dengan punggung sendok.

Campur melon, alpukat dan susu formula";6;8;Bubur Halus;9000;261,2;5,1;20,6;2;1,6;Penambah Berat Badan;Susu;recipes/pure_melon_alpukat.jpg
138;Pure Melon ;Bunda, buah melon mengandung vitamin A,C, dan kalsium serta betakaroten yang sangat baik untuk tumbuh kembang bayi serta kesehatan mata bayi.;"200 g melon

1 sdt madu

50 ml susu formula";Melon;"Ambil daging buah melon, potong-potong. Haluskan dengan blender.

Tambahkan madu dan susu formula. Aduk rata.";6;8;Bubur Halus;7000;99,8;2,8;2,1;0,9;0,7;Peninggi Badan;Susu;recipes/pure_melon_.jpg
139;Pure Melon Yoghurt;Bunda, buah melon mengandung vitamin A,C, dan kalsium serta betakaroten yang sangat baik untuk tumbuh kembang bayi serta kesehatan mata bayi.;"200 g daging buah melon, pilih yang benar-benar matang.

1/2 buah pisang ambon

50 ml yoghurt plain";Melon, Pisang;"Potong-potong daging buah melon dan pisang ambon

Satukan melon, pisang dan yoghurt. Proses dengan blender sampai halus. Sajikan.";6;8;Bubur Halus;8000;82,2;2;0,4;1;2;Peninggi Badan;Susu;recipes/pure_melon_yoghurt.jpg
140;Pure pepaya;Bunda, pepaya mengandung betakaroten tinggi yang dapat meningkatkan daya tahan tubuh.;"300 g pepaya matang

25 ml air jeruk baby

50 ml air matang/ASI/Sufor";Pepaya;"Kupas dan potong-potong buah pepaya. Satukan dnegan air jeruk baby. Haluskan dengan blender.

Saring sari pepaya, tambahkan ASI/Sufor, Aduk rata";6;8;Bubur Halus;5000;77,5;1,2;2;2,8;2,4;Gizi Seimbang;Susu;recipes/pure_pepaya.jpg
141;Pure Pepaya Bengkoang;Bunda, pepaya mengandung betakaroten tinggi yang dapat meningkatkan daya tahan tubuh. Buah pepaya juga sangat bagus untuk pencernaan bayi dan mencegah sembelit.;"200 g pepaya matang

200 g bengkoang, kukus sampai matang.

50 ml air jeruk manis";Pepaya;"Buang biji dan serat kuning pada pepaya. Haluskan dengan blender sampai lumat. Campur dengan air jeruk manis. Sisihkan.

Blender bengkoang bersama 50 ml air matang. Campurkan ke dalam pepaya. Aduk rata.";6;8;Bubur Halus;6000;94,7;2,2;0,3;3;1,4;Peninggi Badan;Tidak_ada;recipes/pure_pepaya_bengkoang.jpg
142;Pure Pepaya Semangka;Bunda, vitamin A pada buah semangka bermanfaat untuk kesehatan kulit dan mata, kalsium untuk pertumbuhan gigi dan tulang, dan magnesium untuk pertumbuhan otot dan fungsi syaraf.;"150 g semangka merah

150 g pepaya, buang biji dan serat kuningnya

50 ml air jeruk baby

50 ml air ASI/Susu Formula";Semangka;"Proses buah semangka dan pepaya sampai halus dengan blender.

Campur semangka dan pepaya dnegan air jeruk baby. Cairkan dengan air matang atau susu formula.";6;8;Bubur Halus;7000;111,4;3,3;2,3;2;1,8;Gizi Seimbang;Susu;recipes/pure_pepaya_semangka.jpg
143;Pure Pir;Bunda, buah pir mengandung vitamin B, C, E, dan K serta mineral potassium. Serat buah pir mampu mencegah sembelit pada bayi.;"1 buah pir

150 air matang";Pir;"Kupas buah pir dan buang bijinya. Potong-potong pir seukuran dadu. Kukus daging buah pir sampai layu.

Satukan buah pir dengan air matang, proses dengan blender sampai halus.";6;8;Bubur Halus;5000;30,4;0,6;0,1;1;2,6;Gizi Seimbang;Tidak_ada;recipes/pure_pir.jpg
144;Pure Pir Jeruk Manis;Bunda, buah pir mengandung vitamin B, C, E, dan K serta mineral potassium. Serat buah pir mampu mencegah sembelit pada bayi.;"2 buah pir hijau matang

100 ml air matang

1 buah jeruk manis, ambil airnya";Pir;"Kupas buah pir dan buang bijinya. Potong-potong pir seukuran dadu. Haluskan dengan blender.

Campur pir dengan jeruk manis. Aduk rata.";6;8;Bubur Halus;6000;52,4;1;0,1;0,2;0,6;Gizi Seimbang;Tidak_ada;recipes/pure_pir_jeruk_manis.jpg
145;Pure Pisang Ambon;Bunda, pisang ambon kaya karbohidrat dan gula buah, sangat bagus untuk pertumbuhan bayi.;"100 g pisang ambon matang

100 ml air matang/ASI/Susu Formula";Pisang;"Keruk daging buah pisang dan haluskan dengan sendok

Tambahkan ASI/Susu formula, aduk rata.";6;8;Bubur Halus;4000;78,5;1;2,2;0,5;0,6;Gizi Seimbang;Susu;recipes/pure_pisang_ambon.jpg
146;Pure Pisang Kurma;MPASI puree pisang kurma adalah camilan sehat bertekstur lembut, manis alami, dan tinggi kalori (BB booster). Kombinasi ini kaya akan serat, kalsium, dan kalium, yang membantu pencernaan serta energi bayi. Menu ini sangat praktis, bisa disajikan dengan dikukus lalu disaring, memberikan nutrisi optimal untuk tumbuh kembang.;"1 buah pisang ambon matang

4 buah kurma

2 sdm jeruk manis

100 ml air matang";Pisang, Kurma;"Potong-potong pisang ambon dan daging buah kurma.

Campur dengan jeruk manis dan air matang. Satukan dengan pisang dan kurma kemudian blender sampai halus.";6;9;Bubur Halus;7000;99,2;1,1;0,4;0,3;1;Gizi Seimbang;Tidak_ada;recipes/pure_pisang_kurma.jpg
147;Pure Sayuran;MPASI Pure Sayuran memiliki tekstur sangat halus, kaya akan nutrisi penting seperti vitamin A dan zat besi, serta memiliki warna yang cerah untuk menarik perhatian bayi. ;"100 g kacang polong

50 g zucchini, kupas dan iris-iris

1 lembar daun kol, buang tulang daunnya

175 air matang";Kacang Polong;"Satukan semua sayuran. Tambahkan air, panaskan sampai kol matang dan zucchini lunak. Angkat, tiriskan. Proses sayuran rebus dengan blender sampai halus.

Tambahkan sedikit air matang";6;8;Bubur Halus;6500;54,5;3,3;0,2;0,4;0,6;Penambah Berat Badan;Kacang Polong;recipes/pure_sayuran.jpg
148;Pure Semangka;Bunda, vitamin A pada buah semangka bermanfaat untuk kesehatan kulit dan mata, kalsium untuk pertumbuhan gigi dan tulang, dan magnesium untuk pertumbuhan otot dan fungsi syaraf.;"300 g daging buah semangka

1 buah jeruk manis, ambil airnya

50 ml air matang";Semangka;"Potong-potong buah semangka tanpa biji dan haluskan dengan blender.

Campur sari semangka dengan air jeruk manis. Cairkan dengan air matang. Aduk rata.";6;8;Bubur Halus;5000;59,7;1,1;0,6;1;0,3;Gizi Seimbang;Tidak_ada;recipes/pure_semangka.jpg
149;Pure Strawberry;Puree stroberi adalah menu MPASI segar dan kaya vitamin C, cocok untuk bayi 6 bulan ke atas. Teksturnya lembut dengan perpaduan rasa manis-asam alami, membantu eksplorasi rasa si Kecil. ;"7 buah strawberry matang dan segar

1 sdt madu

200 ml susu formula";Strawberry;"Potong-potong buah strawberry, campur dengan madu dan susu formula/ASI.

Haluskan dengan blender sampai halus dan sedikit kental. Sajikan.";6;8;Bubur Halus;5500;165,6;6,8;5,8;1,3;0,7;Penambah Berat Badan;Susu;recipes/pure_strawberry.jpg
150;Sari Strawberry Pisang;Bunda, puree strawberry pisang adalah MPASI lezat dengan kombinasi rasa manis alami pisang dan sedikit asam segar stroberi, cocok untuk mengenalkan variasi rasa pada bayi mulai 6 bulan. Menu ini kaya nutrisi, tinggi serat, vitamin C untuk imun, dan kalium, serta teksturnya lembut (creamy) sehingga mudah dicerna dan disukai si kecil.;"5 buah strawberry matang

1 buah pisang ambon matang

50 ml air jeruk manis/jeruk baby";Strawberry, Pisang;"Potong-potong buah strawberry, Haluskan dengan blender sampai halus.


Campur strawberry dengan buah pisang yang di keruk halus. Tambahkan sari jeruk dan air matang/susu formula. Aduk rata.";6;8;Bubur Halus;7000;88,7;1,2;0,5;1;0,6;Gizi Seimbang;Susu;recipes/sari_strawberry_pisang.jpg
151;Pure Tomat;Puree tomat adalah menu MPASI yang halus dan bernutrisi, dibuat dengan mengukus/merebus tomat matang lalu menyaringnya hingga tekstur krim kental. Kaya vitamin C, A, dan antioksidan, puree ini baik untuk imun dan mata bayi, serta bisa dikombinasikan dengan ikan, beras, apel, atau sayuran lain untuk nutrisi seimbang. ;"4 buah tomat apel

1 sdt madu

50 ml susu formula";Tomat;"Rendam tomat dalam air mendidih selama 1 menit, angkat. Kupas tomat dan buang bijinya.

Potong-potong tomat, campurkan dengan madu dan susu, Haluskan dengan blender sampai halus dan kental.";6;8;Bubur Halus;5000;82,6;3;2,2;0,7;1,6;Peninggi Badan;Susu;recipes/pure_tomat.jpg
152;Pure Tomat dan Wortel;MPASI puree tomat dan wortel adalah kombinasi makanan pendamping yang menyegarkan dan kaya nutrisi, ideal untuk memperkenalkan rasa baru pada bayi usia 6 bulan pertama. Campuran ini memadukan rasa manis alami dari wortel dengan sedikit kesegaran asam dari tomat yang dapat merangsang indra perasa si Kecil.;"2 buah tomat

150 g wortel

50 ml air matang

50 ml sari jeruk manis";Tomat, Wortel;"Rendam tomat dalam air mendidih selama 1 menit, angkat. Kupas tomat dan buang bijinya.

Haluskan daging tomat bersama wortel dan air dnegan blender. Campur dengan air jeruk manis.";6;8;Bubur Halus;6000;41,6;1,4;0,3;1,6;1,2;Gizi Seimbang;Tidak_ada;recipes/pure_tomat_dan_wortel.jpg
153;Pure Ubi Merah Daun Bayam;MPASI puree ubi merah dan daun bayam adalah perpaduan hidangan yang padat gizi dengan rasa manis lembut yang disukai bayi. Kombinasi ini sangat cocok sebagai menu perkenalan karena tekstur ubi merah yang creamy membantu menyeimbangkan serat dari bayam, sehingga nyaman di lambung si Kecil.;"300 g ubi merah

50 g daun bayam

1 sdt minyak zaitun";Ubi Merah;"Rebus ubi merah dengan sedikit air sampai matang dan lunak. Tiriskan.

Satukan ubi mrah rebus dengan daun bayam, blender sampai halus. Tambahkan minyak zaitun, aduk rata.";6;9;Bubur Halus;7000;172,6;3,4;1,2;2,3;1;Penambah Berat Badan;Ubi Merah, Minyak Zaitun;recipes/pure_ubi_merah_daun_bayam.jpg
154;Pure Ubi Ungu;Puree ubi ungu adalah menu MPASI superfood yang padat gizi, kaya antioksidan (antosianin), serta serat untuk pencernaan, cocok untuk bayi 6 bulan ke atas. Teksturnya lembut, rasanya manis alami, dan berwarna menarik, membantu meningkatkan napsu makan. Sangat baik dikukus dan dihaluskan bersama ASI/sufor untuk energi ekstra.;"100 g ubi ungu

45 ml air matang

100 ml ASI/Susu Formula";Ubi Ungu;"Potong-potong ubi ungu dan kukus sampai matang

Satukan abi dengan air, haluskan dengan Blender.

Tambahkan susu formula/ASI, aduk rata.";6;9;Bubur Halus;6500;67;1,4;0,4;2,7;0,4;Gizi Seimbang;Susu, Ubi Ungu;recipes/pure_ubi_ungu.jpg
155;Pure Wortel;Puree wortel adalah menu MPASI 6 bulan pertama yang ideal, berbahan dasar wortel kukus halus yang kaya beta-karoten untuk kesehatan mata dan imun bayi. Teksturnya lembut, sedikit manis alami, dan mudah dicerna, membuatnya cocok sebagai pengenalan tekstur makanan padat pertama.;"1 buah wortel

50 ml air matang

100 ml susu formula/ASI";Wortel;"Potong wortel dan kukus hingga matang. Angkat.

Satukan wortel kukus dengan air. Haluskan dengan blender.

Campurkan dengan susu/ASI. Aduk rata.";6;9;Bubur Halus;5000;57;1,1;2;0,4;1,3;Gizi Seimbang;Susu;recipes/pure_wortel.jpg
156;Bubur Ayam Beras Merah;Bunda, beras merah memberi energi yang cukup besar dan mampu merangsang otak untuk melepaskan hormon serotonin yang bersifat menenangkan pikiran. Hal ini menjadikan bayi tidur nyenyak dan perkembangan otak menjadi lebih pesat.;"1/2 sdm margarin

1/2 siung bawang putih

1 sdm daging ayam giling

300 ml air kaldu, didihkan

25 g wortel

40 g beras merah

1 buah kuning telur, kocok sebentar.";Daging Ayam;"Cuci bersih beras merah, lalu rendam sebentar agar lebih cepat lunak saat dimasak.

Panaskan 1/2 sdm margarin di dalam panci, lalu tumis bawang putih hingga harum.

Masukkan 1 sdm daging ayam giling, aduk-aduk hingga berubah warna dan matang.

Masukkan beras merah ke dalam panci, aduk sebentar bersama tumisan ayam.

Tuangkan 300 ml air kaldu yang sudah mendidih. Masak dengan api kecil sambil sesekali diaduk hingga beras menjadi bubur.

Masukkan 25 g wortel yang sudah diparut atau dipotong kecil, masak hingga wortel empuk.

Tuangkan kocokan kuning telur ke dalam bubur sambil diaduk cepat hingga merata dan matang sempurna.Angkat bubur, lalu sesuaikan teksturnya (disaring atau langsung disajikan) sesuai dengan usia si Kecil.";12;24;Bubur Kental;10000;164,9;7,5;7,5;2,4;1,8;Penambah Berat Badan;Daging Ayam, Telur, Nasi;recipes/bubur_ayam_beras_merah.jpg
157;Bubur beras daging cincang;Bubur beras daging cincang adalah hidangan MPASI yang kaya akan zat besi, protein, dan asam amino penting untuk mendukung tumbuh kembang saraf otak si Kecil. Menu ini memiliki rasa gurih alami dari kaldu daging dan tekstur lembut yang mudah dicerna, sehingga sering menjadi favorit untuk membantu meningkatkan berat badan (BB booster) maupun mengatasi bayi yang sedang melakukan gerakan tutup mulut (GTM).;"40 g beras

1/2 sdm margarin

1/2 siung bawang putih

1 sdm daging sapi giling

20 g wortel

3 batang bayam

300 ml air kaldu";Daging Sapi;"Panaskan margarin di dalam panci kecil menggunakan api sedang.Tumis bawang putih hingga tercium aroma harum.

Masukkan daging sapi cincang, aduk dan masak hingga berubah warna menjadi kecokelatan.Masukkan beras yang sudah dicuci ke dalam panci, aduk sebentar bersama daging.

uangkan air kaldu, lalu kecilkan api.Masak bubur sambil sesekali diaduk agar bagian bawahnya tidak lengket atau gosong.

Masukkan wortel dan sayuran saat beras sudah mulai melunak, masak hingga seluruh bahan empuk dan air menyusut.

Matikan api, lalu saring atau haluskan bubur sesuai dengan kemampuan mengunyah si Kecil.";12;24;Bubur Kasar;15000;107,3;2,9;3;1,8;2;Penambah Berat Badan;Daging sapi, Margarin;recipes/bubur_beras_daging_cincang.jpg
158;Bubur Beras Labu Kuning;Bubur beras labu kuning merupakan pilihan MPASI yang sangat ideal bagi si Kecil karena memiliki tekstur lembut dengan cita rasa manis alami yang umumnya sangat disukai oleh bayi. Menu ini kaya akan kandungan vitamin A, beta-karoten, dan serat dari labu kuning yang sangat bermanfaat untuk menjaga kesehatan mata serta melancarkan sistem pencernaan anak. Selain nutrisinya yang melimpah, warna kuning cerah pada hidangan ini juga dapat membantu menstimulasi nafsu makan si Kecil sehingga momen makan menjadi lebih menyenangkan.;"40 gram beras putih, cuci bersih.

50 gram labu kuning, kupas kulitnya dan potong dadu kecil.

1 sdm protein (bisa menggunakan ayam giling atau ikan fillet yang dicincang halus).

350 ml air atau air kaldu.

10 g jagung manis

1/2 sdm minyak zaitun atau santan kental (sebagai lemak tambahan).

1 lembar daun salam (sebagai aromatik agar lebih wangi).";Labu Kuning, Nasi;"Masukkan beras, labu kuning, dan daun salam ke dalam panci.Tuangkan air atau air kaldu, lalu masak dengan api sedang.

Aduk sesekali agar beras tidak menempel di dasar panci dan labu menjadi hancur menyatu dengan beras.Masukkan protein (ayam atau ikan) saat air mulai menyusut, masak hingga semua bahan matang sempurna.

Tambahkan santan kental jika menggunakan santan, aduk rata sebentar, lalu matikan api.

Buang daun salam, lalu haluskan bubur menggunakan saringan kawat atau blender.

Tuangkan minyak zaitun (jika tidak menggunakan santan) ke atas bubur yang sudah siap disajikan. Aduk rata dan sajikan.";9;24;Bubur Kental;8000;187,7;11,8;5,5;1;0,3;Peninggi Badan;Daging Ayam, Jagung, Minyak Zaitun,  Beras Putih;recipes/bubur_beras_labu_kuning.jpg
159;Bubur Beras Merah;Menu MPASI ini merupakan perpaduan gizi lengkap yang sangat baik untuk mendukung pertumbuhan tulang dan kecerdasan otak karena mengandung protein berkualitas dari ikan tengiri serta kalsium dari tempe. Penggunaan beras merah memberikan asupan serat yang lebih tinggi dan energi yang tahan lama bagi si Kecil, sementara tumisan margarin dan bawang putih memberikan aroma gurih alami yang dapat meningkatkan nafsu makan. Selain padat nutrisi, hidangan ini juga membantu mengenalkan variasi rasa protein laut yang kaya akan omega-3 kepada bayi sejak dini.;"1 sdm margarin

1/2 siung bawang putih

40 g ikan tengiri, lumuri dengan garam dan cuci bersih

25 g buncis

50 g tempe

300 ml air kaldu

40 g beras merah";Nasi;"Cuci bersih beras merah, lalu rendam selama kurang lebih 30 menit agar teksturnya lebih cepat empuk saat dimasak.

Panaskan 1 sdm margarin di dalam panci, kemudian tumis bawang putih hingga mengeluarkan aroma harum.

Masukkan ikan tengiri yang sudah dibersihkan, aduk-aduk bersama tumisan bawang hingga ikan berubah warna dan matang.

Masukkan beras merah ke dalam panci, aduk sebentar agar tercampur dengan margarin dan kaldu ikan.

Tuangkan 300 ml air kaldu ke dalam panci, lalu masak dengan api kecil sambil sesekali diaduk agar tidak gosong di bagian bawah.Masukkan tempe yang sudah dipotong kecil-kecil ke dalam rebusan bubur, masak hingga tempe melunak.

Masukkan buncis yang telah diiris halus saat bubur sudah mulai mengental, lalu masak kembali hingga semua bahan benar-benar matang sempurna.

Matikan api, kemudian sesuaikan tekstur bubur (bisa disaring atau diblender) sesuai dengan tahapan usia si Kecil sebelum disajikan.";7;24;Bubur Kental;9000;168,8;11;4,9;1,8;1,1;Penambah Berat Badan;Ikan Tengiri, Tempe, Nasi;recipes/bubur_beras_merah.jpg
160;Bubur Bit Tepung Hunkwe;Bunda, Bubur Bit Tepung Hunkwe adalah pilihan menu MPASI selingan atau camilan sehat yang memiliki tampilan warna ungu kemerahan alami yang menarik perhatian si Kecil. Perpaduan antara tepung hunkwe yang bertekstur sangat lembut dan sari buah bit yang kaya akan zat besi serta antioksidan menjadikan menu ini sangat efektif untuk membantu meningkatkan kadar hemoglobin sekaligus melancarkan pencernaan.;"50 g bit, rebus

300 ml kaldu daging

50 g tepung hunkwe";Bit;"Kupas dan potong-potong bit, satukan dengan kaldu daging. Haluskan dengan blender.

Tambahkan tepung hunkwe, aduk rata. Masak sambil diaduk dengan api kecil sampai matang.";6;10;Bubur Kental;9500;248;3,3;1,4;1;0,3;Penambah Berat Badan;Kaldu Ayam, Tepung Hunkwe;recipes/bubur_bit_tepung_hunkwe.jpg
161;Bubur Biskuit Pisang Susu;Bubur pisang biskuit adalah menu MPASI praktis dan bernutrisi untuk bayi 6 bulan ke atas, menggabungkan pisang matang yang kaya kalium dengan biskuit bayi yang mudah larut. Teksturnya lembut, rasanya manis alami, dan kaya akan kalsium, vitamin, serta energi untuk mendukung pertumbuhan tulang dan otak si kecil;"5 keping biskuit marie

1 buah pisang ambon matang

250 ml susu formula
";Pisang;"Hancurkan biskuit, rendam dengan susu

Keruk daging pisang dengan sendok. Campur dengan  biskuit yang sudah di rendam.

Aduk rata dan sajikan ";6;10;Bubur Halus;5500;308,5;10,3;9,2;1;2,4;Penambah Berat Badan;Susu;recipes/bubur_biskuit_pisang_susu.jpg
162;Bubur Ceker Sawi Hijau;Bubur ini menyatukan kelembutan karbohidrat dari beras dengan gurihnya kaldu ceker ayam yang kaya akan lemak sehat dan kolagen. Sawi hijau ditambahkan untuk memberikan asupan serat serta warna yang menarik untuk merangsang pengenalan sayuran pada bayi.;"1 potong ceker ayam, kupas kulit arinya

100 g nasi putih

25 g sawi hijau

250 ml air";Ceker Ayam;"Masak ceker bersama nasi putih dan air dengan api kecil

Tambahkan sawi hijau, aduk rata. Masak sampai sawi layu, angkat. Buang tulang  ceker. Haluskan dengan blender.";6;12;Bubur Kental;8000;395;10,1;2,6;0,8;2,7;Penambah Berat Badan;Ceker Ayam, Nasi;recipes/bubur_ceker_sawi_hijau.jpg
